AGLOMERADO,CH03,CH04,CH06,CH07,CH08,CH09,CH15,es_estudiante,ESTADO,CAT_OCUP,CAT_INAC,IV1,IV2,IV6,IV8,II8,IX_TOT,V2,V14,EDUC,horastrab,EDAD_2,ITF,ANIO,pobre
18.0,3.0,0,13.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,7.0,0.0,169.0,1140.0,2005.0,0
18.0,4.0,0,19.0,1.0,0,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,7.0,0.0,361.0,1140.0,2005.0,0
18.0,5.0,0,1.0,5.0,1,3.0,1.0,0,4.0,0.0,5.0,1.0,3.0,2.0,1.0,0.0,8.0,2.0,2.0,0.0,0.0,1.0,1140.0,2005.0,0
18.0,1.0,1,34.0,1.0,0,1.0,1.0,0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,10.0,45.0,1156.0,510.0,2005.0,1
18.0,2.0,0,32.0,1.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,7.0,8.0,1024.0,510.0,2005.0,1
18.0,3.0,1,14.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,7.0,78.0,196.0,510.0,2005.0,1
18.0,3.0,0,11.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,5.0,0.0,121.0,510.0,2005.0,1
18.0,3.0,1,11.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,3.0,0.0,121.0,510.0,2005.0,1
18.0,3.0,1,7.0,5.0,0,1.0,1.0,1,4.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,0.0,49.0,510.0,2005.0,1
18.0,3.0,1,5.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,0.0,0.0,25.0,510.0,2005.0,1
18.0,3.0,1,2.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,0.0,0.0,4.0,510.0,2005.0,1
18.0,7.0,0,55.0,4.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,10.0,2.0,2.0,3.0,0.0,3025.0,510.0,2005.0,1
18.0,1.0,1,46.0,1.0,0,1.0,1.0,0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,7.0,14.0,2116.0,786.0,2005.0,0
18.0,2.0,0,33.0,1.0,1,2.0,1.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,0.0,1089.0,786.0,2005.0,0
18.0,1.0,1,44.0,2.0,1,1.0,1.0,0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,10.0,50.0,1936.0,880.0,2005.0,0
18.0,2.0,0,43.0,2.0,1,1.0,1.0,0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,7.0,30.0,1849.0,880.0,2005.0,0
18.0,3.0,1,15.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,10.0,0.0,225.0,880.0,2005.0,0
18.0,3.0,0,12.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,6.0,0.0,144.0,880.0,2005.0,0
18.0,3.0,1,9.0,5.0,1,1.0,1.0,1,4.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,0.0,81.0,880.0,2005.0,0
18.0,1.0,1,61.0,2.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,12.0,18.0,3721.0,3380.0,2005.0,0
18.0,2.0,0,61.0,2.0,1,1.0,1.0,0,3.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,12.0,0.0,3721.0,3380.0,2005.0,0
18.0,3.0,0,25.0,5.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,17.0,0.0,625.0,3380.0,2005.0,0
18.0,7.0,0,85.0,4.0,1,1.0,1.0,0,3.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,7.0,0.0,7225.0,3380.0,2005.0,0
18.0,1.0,0,88.0,4.0,1,1.0,2.0,0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,7.0,0.0,7744.0,5295.0,2005.0,0
18.0,5.0,0,35.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,13.0,30.0,1225.0,5295.0,2005.0,0
18.0,5.0,1,29.0,5.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,12.0,48.0,841.0,5295.0,2005.0,0
18.0,5.0,1,27.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,13.0,63.0,729.0,5295.0,2005.0,0
18.0,5.0,1,26.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,15.0,42.0,676.0,5295.0,2005.0,0
18.0,5.0,0,25.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,12.0,0.0,625.0,5295.0,2005.0,0
18.0,5.0,1,24.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,12.0,0.0,576.0,5295.0,2005.0,0
